Capital expenditure,$ Total,$ Accumulated1,year,school_id,school_name,$ Last 3 years1
New school loans,0,0,2020,45442,"Northcote High School, Northcote, VIC",
Income allocated to current capital projects,0,0,2020,45442,"Northcote High School, Northcote, VIC",
Other,190735,319568,2020,45442,"Northcote High School, Northcote, VIC",
Total capital expenditure,375415,8057177,2020,45442,"Northcote High School, Northcote, VIC",
Australian government capital expenditure,79369,209394,2022,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,304649,819822,2022,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2022,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2022,44671,"Altona Primary School, Altona, VIC",
Other,18722,58305,2022,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,402740,1087521,2022,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,26009,906079,2020,52587,"South Melbourne Primary School, Southbank, VIC",
State / territory government capital expenditure,106231,2770150,2020,52587,"South Melbourne Primary School, Southbank, VIC",
New school loans,0,0,2020,52587,"South Melbourne Primary School, Southbank, VIC",
Income allocated to current capital projects,0,0,2020,52587,"South Melbourne Primary School, Southbank, VIC",
Other,0,0,2020,52587,"South Melbourne Primary School, Southbank, VIC",
Total capital expenditure,132240,3676229,2020,52587,"South Melbourne Primary School, Southbank, VIC",
Australian government capital expenditure,27978,70560,2014,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,20833,89346,2014,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC",
Other,0,0,2014,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,48811,159906,2014,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,0,157951,2021,52587,"South Melbourne Primary School, Southbank, VIC",
State / territory government capital expenditure,0,518919,2021,52587,"South Melbourne Primary School, Southbank, VIC",
New school loans,0,0,2021,52587,"South Melbourne Primary School, Southbank, VIC",
Income allocated to current capital projects,0,0,2021,52587,"South Melbourne Primary School, Southbank, VIC",
Other,0,0,2021,52587,"South Melbourne Primary School, Southbank, VIC",
Total capital expenditure,0,676870,2021,52587,"South Melbourne Primary School, Southbank, VIC",
Australian government capital expenditure,11374,81934,2015,44225,"Williamstown Primary School, Williamstown, VIC",
State / territory government capital expenditure,15057,56153,2015,44225,"Williamstown Primary School, Williamstown, VIC",
New school loans,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC",
Income allocated to current capital projects,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC",
Other,0,0,2015,44225,"Williamstown Primary School, Williamstown, VIC",
Total capital expenditure,26431,138087,2015,44225,"Williamstown Primary School, Williamstown, VIC",
Australian government capital expenditure,56399,417936,2021,45442,"Northcote High School, Northcote, VIC",
State / territory government capital expenditure,222655,1388216,2021,45442,"Northcote High School, Northcote, VIC",
New school loans,0,0,2021,45442,"Northcote High School, Northcote, VIC",
Income allocated to current capital projects,0,0,2021,45442,"Northcote High School, Northcote, VIC",
Other,98888,386130,2021,45442,"Northcote High School, Northcote, VIC",
Total capital expenditure,377942,2192282,2021,45442,"Northcote High School, Northcote, VIC",
Australian government capital expenditure,442576,1366019,2015,45545,"Brunswick Secondary College, Brunswick, VIC",
State / territory government capital expenditure,478308,673476,2015,45545,"Brunswick Secondary College, Brunswick, VIC",
New school loans,0,0,2015,45545,"Brunswick Secondary College, Brunswick, VIC",
Income allocated to current capital projects,0,0,2015,45545,"Brunswick Secondary College, Brunswick, VIC",
Other,33928,76936,2015,45545,"Brunswick Secondary College, Brunswick, VIC",
Total capital expenditure,954812,2116431,2015,45545,"Brunswick Secondary College, Brunswick, VIC",
Australian government capital expenditure,0,0,2016,48415,"Kensington Primary School, Kensington, WA",
State / territory government capital expenditure,82923,123066,2016,48415,"Kensington Primary School, Kensington, WA",
New school loans,0,0,2016,48415,"Kensington Primary School, Kensington, WA",
Income allocated to current capital projects,0,0,2016,48415,"Kensington Primary School, Kensington, WA",
Other,0,0,2016,48415,"Kensington Primary School, Kensington, WA",
Total capital expenditure,82923,123066,2016,48415,"Kensington Primary School, Kensington, WA",
Australian government capital expenditure,1741663,2450142,2022,44485,"Carlton Gardens Primary School, Carlton, VIC",
State / territory government capital expenditure,6685215,9503149,2022,44485,"Carlton Gardens Primary School, Carlton, VIC",
New school loans,0,0,2022,44485,"Carlton Gardens Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2022,44485,"Carlton Gardens Primary School, Carlton, VIC",
Other,21190,70780,2022,44485,"Carlton Gardens Primary School, Carlton, VIC",
Total capital expenditure,8448068,12024071,2022,44485,"Carlton Gardens Primary School, Carlton, VIC",
Australian government capital expenditure,87068,164783,2021,44270,"North Melbourne Primary School, North Melbourne, VIC",
State / territory government capital expenditure,343730,637632,2021,44270,"North Melbourne Primary School, North Melbourne, VIC",
New school loans,0,0,2021,44270,"North Melbourne Primary School, North Melbourne, VIC",
Income allocated to current capital projects,0,0,2021,44270,"North Melbourne Primary School, North Melbourne, VIC",
Other,0,89257,2021,44270,"North Melbourne Primary School, North Melbourne, VIC",
Total capital expenditure,430798,891672,2021,44270,"North Melbourne Primary School, North Melbourne, VIC",
Australian government capital expenditure,23361,40109,2014,44062,"Footscray Primary School, Footscray, VIC",
State / territory government capital expenditure,19690,56212,2014,44062,"Footscray Primary School, Footscray, VIC",
New school loans,0,0,2014,44062,"Footscray Primary School, Footscray, VIC",
Income allocated to current capital projects,0,0,2014,44062,"Footscray Primary School, Footscray, VIC",
Other,13862,22462,2014,44062,"Footscray Primary School, Footscray, VIC",
Total capital expenditure,56913,118783,2014,44062,"Footscray Primary School, Footscray, VIC",
Australian government capital expenditure,149120,0,2023,44515,"Yarraville West Primary School, Yarraville, VIC","189,762"
State / territory government capital expenditure,651196,0,2023,44515,"Yarraville West Primary School, Yarraville, VIC","808,569"
New school loans,0,0,2023,44515,"Yarraville West Primary School, Yarraville, VIC",0
Income allocated to current capital projects,0,0,2023,44515,"Yarraville West Primary School, Yarraville, VIC",0
Other,24021,0,2023,44515,"Yarraville West Primary School, Yarraville, VIC","44,202"
Total capital expenditure,824337,0,2023,44515,"Yarraville West Primary School, Yarraville, VIC","1,042,533"
Australian government capital expenditure,246249,836625,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
State / territory government capital expenditure,583535,1289355,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
New school loans,0,0,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Income allocated to current capital projects,0,0,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Other,0,59122,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Total capital expenditure,829784,2185102,2016,44531,"Port Melbourne Primary School, Port Melbourne, VIC",
Australian government capital expenditure,2571471,2599118,2014,50267,"Albert Park College, Albert Park, VIC",
State / territory government capital expenditure,2929826,2975612,2014,50267,"Albert Park College, Albert Park, VIC",
New school loans,0,0,2014,50267,"Albert Park College, Albert Park, VIC",
Income allocated to current capital projects,0,0,2014,50267,"Albert Park College, Albert Park, VIC",
Other,35458,35458,2014,50267,"Albert Park College, Albert Park, VIC",
Total capital expenditure,5536755,5610188,2014,50267,"Albert Park College, Albert Park, VIC",
Australian government capital expenditure,13085,982015,2014,45587,"Altona College, Altona, VIC",
State / territory government capital expenditure,12547,102105,2014,45587,"Altona College, Altona, VIC",
New school loans,0,0,2014,45587,"Altona College, Altona, VIC",
Income allocated to current capital projects,0,0,2014,45587,"Altona College, Altona, VIC",
Other,22634,22634,2014,45587,"Altona College, Altona, VIC",
Total capital expenditure,48266,1106753,2014,45587,"Altona College, Altona, VIC",
Australian government capital expenditure,36487,50895,2014,44513,"Middle Park Primary School, Middle Park, VIC",
State / territory government capital expenditure,32833,132009,2014,44513,"Middle Park Primary School, Middle Park, VIC",
New school loans,0,0,2014,44513,"Middle Park Primary School, Middle Park, VIC",
Income allocated to current capital projects,0,0,2014,44513,"Middle Park Primary School, Middle Park, VIC",
Other,0,10122,2014,44513,"Middle Park Primary School, Middle Park, VIC",
Total capital expenditure,69320,193026,2014,44513,"Middle Park Primary School, Middle Park, VIC",
Australian government capital expenditure,1371091,2012397,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
State / territory government capital expenditure,1484152,2452666,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
New school loans,0,0,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Income allocated to current capital projects,0,0,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Other,0,20735,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Total capital expenditure,2855243,4485798,2014,44808,"Ferntree Gully North Primary School, Ferntree Gully, VIC",
Australian government capital expenditure,22567,350832,2019,44671,"Altona Primary School, Altona, VIC",
State / territory government capital expenditure,70586,1071517,2019,44671,"Altona Primary School, Altona, VIC",
New school loans,0,0,2019,44671,"Altona Primary School, Altona, VIC",
Income allocated to current capital projects,0,0,2019,44671,"Altona Primary School, Altona, VIC",
Other,28185,28185,2019,44671,"Altona Primary School, Altona, VIC",
Total capital expenditure,121338,1450534,2019,44671,"Altona Primary School, Altona, VIC",
Australian government capital expenditure,48220,103323,2019,44515,"Yarraville West Primary School, Yarraville, VIC",
State / territory government capital expenditure,150822,413164,2019,44515,"Yarraville West Primary School, Yarraville, VIC",
New school loans,0,0,2019,44515,"Yarraville West Primary School, Yarraville, VIC",
Income allocated to current capital projects,0,0,2019,44515,"Yarraville West Primary School, Yarraville, VIC",
Other,0,14373,2019,44515,"Yarraville West Primary School, Yarraville, VIC",
Total capital expenditure,199042,530860,2019,44515,"Yarraville West Primary School, Yarraville, VIC",
Australian government capital expenditure,753834,3422541,2019,44948,"Carlton Primary School, Carlton, VIC",
State / territory government capital expenditure,2357837,10842942,2019,44948,"Carlton Primary School, Carlton, VIC",
New school loans,0,0,2019,44948,"Carlton Primary School, Carlton, VIC",
Income allocated to current capital projects,0,0,2019,44948,"Carlton Primary School, Carlton, VIC",
Other,0,16829,2019,44948,"Carlton Primary School, Carlton, VIC",
